sample.yr	plot	subplot	Snr	d.msrd	year	direction	radius	wid.e	wid.l	wg	wg.mn	wg.mx	wg.e	wg.l
2024	3	5	4	171.0	2012		0.497							
2024	3	5	4	171.0	2011		0.611							
2024	3	5	4	171.0	2010		0.580							
2024	3	5	4	171.0	2009		0.569							
2024	3	5	4	171.0	2008		0.580							
2024	3	5	4	171.0	2007		0.685							
2024	3	5	4	171.0	2006		0.674							
2024	3	5	4	171.0	2005		0.800							
2024	3	5	4	171.0	2004		0.747							
2024	3	5	4	171.0	2003		0.642							
2024	3	5	4	171.0	2002		0.548							
2024	3	5	4	171.0	2001		0.632							
2024	3	5	5	247.5	2024		0.866							
2024	3	5	5	247.5	2023		0.884							
2024	3	5	5	247.5	2022		1.052							
2024	3	5	5	247.5	2021		0.882							
2024	3	5	5	247.5	2020		0.754							
2024	3	5	5	247.5	2019		1.048							
2024	3	5	5	247.5	2018		0.881							
2024	3	5	5	247.5	2017		0.798							
2024	3	5	5	247.5	2016		0.903							
2024	3	5	5	247.5	2015		0.798							
2024	3	5	5	247.5	2014		0.862							
2024	3	5	5	247.5	2013		0.715							
2024	3	5	5	247.5	2012		0.883							
2024	3	5	5	247.5	2011		1.119							
2024	3	5	5	247.5	2010		0.783							
2024	3	5	5	247.5	2009		0.740							
2024	3	5	5	247.5	2008		0.823							
2024	3	5	5	247.5	2007		0.995							
2024	3	5	5	247.5	2006		0.931							
2024	3	5	5	247.5	2005		0.973							
2024	3	5	5	247.5	2004		0.827							
2024	3	5	5	247.5	2003		0.675							
2024	3	5	5	247.5	2002		0.804							
2024	3	5	5	247.5	2001		0.614							
2024	3	6	5	234.0	2024		0.624							
2024	3	6	5	234.0	2023		0.550							
2024	3	6	5	234.0	2022		0.709							
2024	3	6	5	234.0	2021		0.816							
2024	3	6	5	234.0	2020		0.434							
2024	3	6	5	234.0	2019		0.645							
2024	3	6	5	234.0	2018		0.540							
2024	3	6	5	234.0	2017		0.709							
2024	3	6	5	234.0	2016		0.709							
2024	3	6	5	234.0	2015		0.709							
2024	3	6	5	234.0	2014		0.815							
2024	3	6	5	234.0	2013		0.699							
2024	3	6	5	234.0	2012		0.794							
2024	3	6	5	234.0	2011		0.709							
2024	3	6	5	234.0	2010		0.773							
2024	3	6	5	234.0	2009		0.772							
2024	3	6	5	234.0	2008		0.794							
2024	3	6	5	234.0	2007		0.910							
2024	3	6	5	234.0	2006		0.868							
2024	3	6	5	234.0	2005		0.879							
2024	3	6	5	234.0	2004		0.952							
2024	3	6	5	234.0	2003		0.847							
2024	3	6	5	234.0	2002		0.604							
2024	3	6	5	234.0	2001		0.666							
2024	3	6	4	152.5	2024		0.635							
2024	3	6	4	152.5	2023		0.572							
2024	3	6	4	152.5	2022		0.508							
2024	3	6	4	152.5	2021		0.593							
2024	3	6	4	152.5	2020		0.360							
2024	3	6	4	152.5	2019		0.402							
2024	3	6	4	152.5	2018		0.296							
2024	3	6	4	152.5	2017		0.423							
2024	3	6	4	152.5	2016		0.529							
2024	3	6	4	152.5	2015		0.550							
2024	3	6	4	152.5	2014		0.635							
2024	3	6	4	152.5	2013		0.466							
2024	3	6	4	152.5	2012		0.720							
2024	3	6	4	152.5	2011		0.656							
2024	3	6	4	152.5	2010		0.508							
2024	3	6	4	152.5	2009		0.614							
2024	3	6	4	152.5	2008		0.699							
2024	3	6	4	152.5	2007		0.868							
2024	3	6	4	152.5	2006		0.804							
2024	3	6	4	152.5	2005		1.037							
2024	3	6	4	152.5	2004		0.974							
2024	3	6	4	152.5	2003		0.889							
2024	3	6	4	152.5	2002		0.572							
