plot	repID	d.cm	RingCount	PathLength	variable	value	radius	year
C	3	25.5	55	67.2356	X2003	0.613	0.613	2003
C	57	18.1	55	42.9563	X2003	0.995	0.995	2003
E	54	17.2	58	63.5423	X2003	1.146	1.146	2003
E	56	17.8	60	56.3447	X2003	0.703	0.703	2003
E	80	25.5	37	60.8427	X2003	2.199	2.199	2003
E	82	26.1	47	65.3303	X2003	2.325	2.325	2003
E	88	28	49	60.0893	X2003	1.417	1.417	2003
F	1	12.3	64	45.7905	X2003	0.762	0.762	2003
F	1	18.2	50	65.5565	X2003	1.354	1.354	2003
F	1	30.3	34	79.375	X2003	1.608	1.608	2003
F	2	16	55	47.6059	X2003	0.795	0.795	2003
F	2	18.5	58	53.1488	X2003	0.91	0.91	2003
F	2	28	49	61.2615	X2003	1.105	1.105	2003
F	3	16.7	68	69.5974	X2003	1.696	1.696	2003
F	3	20.2	50	64.7459	X2003	1.729	1.729	2003
F	3	25.5	51	78.7512	X2003	1.906	1.906	2003
N	3	19	49	55.0077	X2003	1.65	1.65	2003
