plot	rep	nr	year	d	h	lc	bc	h.1	d.1	bc.1	lc.1
2	3	36	2005	0.1685	14.2954104006519	7.41985719258502	6.87555320806688	NA	NA	NA	NA
2	3	37	2005	0.1315	12.5834640656377	6.26990153846068	6.31356252717704	NA	NA	NA	NA
2	3	38	2005	0.1185	11.8522095505284	5.81903988421345	6.03316966631496	NA	NA	NA	NA
2	3	39	2005	0.2225	16.105607085034	8.84768687774438	7.25792020728959	NA	NA	NA	NA
2	3	40	2005	0.1785	14.6825697026894	7.70323848988058	6.97933121280887	NA	NA	NA	NA
2	3	41	2005	0.182	14.8117412333422	7.80011325679267	7.01162797654955	NA	NA	NA	NA
2	3	42	2005	0.21	15.7418800706579	8.53739906659233	7.20448100406557	NA	NA	NA	NA
2	3	43	2005	0.141	13.0708925326411	6.58248374170396	6.48840879093716	NA	NA	NA	NA
2	3	44	2005	0.181	14.7751562403587	7.77255189950531	7.00260434085334	NA	NA	NA	NA
2	3	45	2005	0.1805	14.7567680422948	7.75873630807479	6.99803173422004	NA	NA	NA	NA
2	3	46	2005	0.1495	13.4770618967574	6.85134366946506	6.62571822729236	NA	NA	NA	NA
2	3	47	2005	0.173	14.4730522600255	7.54862465176288	6.92442760826259	NA	NA	NA	NA
2	3	48	2005	0.2195	16.0208850730611	8.77416108398613	7.24672398907498	NA	NA	NA	NA
2	3	49	2005	0.165	14.1531920694178	7.31822987150796	6.83496219790983	NA	NA	NA	NA
2	3	50	2005	0.1675	14.2551453154217	7.39095495795476	6.86419035746694	NA	NA	NA	NA
2	3	51	2005	0.139	12.9713260302449	6.51777743884696	6.45354859139794	NA	NA	NA	NA
2	3	52	2005	0.174	14.5117565398281	7.57695861867746	6.93479792115068	NA	NA	NA	NA
2	3	53	2005	0.163	14.0702764251344	7.25955775689778	6.81071866823659	NA	NA	NA	NA
2	3	54	2005	0.102	10.8002637315124	5.20252189636403	5.59774183514833	NA	NA	NA	NA
2	3	55	2005	0.21	15.7418800706579	8.53739906659233	7.20448100406557	NA	NA	NA	NA
2	3	56	2005	0.1665	14.2145867878819	7.36194595650876	6.85264083137316	NA	NA	NA	NA
2	3	57	2005	0.2005	15.4454346221907	8.29424761968851	7.15118700250221	NA	NA	NA	NA
2	3	58	2005	0.1715	14.4144751030522	7.50593402726889	6.90854107578334	NA	NA	NA	NA
2	3	59	2005	0.1385	12.9461867725329	6.5015114401991	6.44467533233376	NA	NA	NA	NA
2	3	60	2005	0.1785	14.6825697026894	7.70323848988058	6.97933121280887	NA	NA	NA	NA
2	3	61	2005	0.186	14.9555754350153	7.90944426940906	7.04613116560626	NA	NA	NA	NA
2	3	62	2005	0.1355	12.7932285262995	6.40314940180152	6.39007912449802	NA	NA	NA	NA
2	3	63	2005	0.139	12.9713260302449	6.51777743884696	6.45354859139794	NA	NA	NA	NA
2	3	64	2005	0.149	13.4539036694381	6.83579405332193	6.61810961611622	NA	NA	NA	NA
2	3	65	2005	0.1805	14.7567680422948	7.75873630807479	6.99803173422004	NA	NA	NA	NA
2	3	66	2005	0.162	14.0283588595691	7.23005457899236	6.79830428057677	NA	NA	NA	NA
2	3	67	2005	0.123	12.1143131441622	5.97832954269044	6.13598360147177	NA	NA	NA	NA
2	3	68	2005	0.093	10.1591425215622	4.84235974488013	5.31678277668208	NA	NA	NA	NA
2	3	69	2005	0.084	9.46424523409679	4.46331582093288	5.00092941316391	NA	NA	NA	NA
2	3	70	2005	0.156	13.7702095604911	7.05062210196877	6.71958745852235	NA	NA	NA	NA
2	3	71	2005	0.0815	9.26098938728211	4.35446255826451	4.90652682901761	NA	NA	NA	NA
2	3	72	2005	0.1585	13.879177985576	7.12589626214315	6.75328172343287	NA	NA	NA	NA
2	3	73	2005	0.1555	13.7481692111461	7.03547774840812	6.71269146273798	NA	NA	NA	NA
2	3	74	2005	0.203	15.525225936242	8.35888627588456	7.16633966035747	NA	NA	NA	NA
2	3	75	2005	0.12	11.9406795818089	5.87253134190465	6.06814823990423	NA	NA	NA	NA
2	3	76	2005	0.1585	13.879177985576	7.12589626214315	6.75328172343287	NA	NA	NA	NA
2	3	77	2005	0.151	13.5460057055953	6.8978001995575	6.64820550603778	NA	NA	NA	NA
2	3	78	2005	0.128	12.3942469555049	6.15126688479617	6.24298007070875	NA	NA	NA	NA
2	3	79	2005	0.1695	14.3353850728457	7.44865374017332	6.88673133267236	NA	NA	NA	NA
2	3	80	2005	0.172	14.4340707295799	7.5201896953013	6.9138810342786	NA	NA	NA	NA
