Snr	trt	year	age	wd	wde	wdl	swg	wge	wgl	ba	bai	baie	bail
4	F	1963	19	0.72	0.51	0.21	363.637820879407	313.04402093827	487.234969966382	1539.24916022589	98.5077792459615	69.4398790593571	29.0679001866044
4	F	1964	20	0.78	0.6	0.18	353.48596687143	314.160197864281	484.436294743766	1649.64158448039	110.392424254492	84.5779574199446	25.8144668345474
4	F	1965	21	0.645	0.505	0.14	341.071309975531	306.103337105682	470.424127618437	1743.81514396164	94.1735594812526	73.5106762800615	20.6628832011911
4	F	1966	22	0.715	0.51	0.205	364.049532943188	310.502087669391	502.189270138944	1851.26397443953	107.448830477894	76.3133696261459	31.1354608517483
4	F	1967	23	0.83	0.575	0.255	376.920394696944	326.217202084762	490.931707155378	1980.02340598397	128.759431544439	88.7401749868693	40.0192565575694
4	F	1968	24	0.805	0.61	0.195	362.392632117718	319.590267302652	500.439926943514	2109.03942710839	129.016021124421	97.3900005798146	31.6260205446065
4	F	1969	25	0.84	0.67	0.17	349.978769286957	312.849520987831	501.634444179082	2248.00589318435	138.966466075952	110.484472919242	28.4819931567099
4	F	1970	26	0.94	0.745	0.195	358.78203898188	320.85787168685	503.503367660996	2408.77249900209	160.766605817743	126.959691653014	33.8069141647288
4	F	1971	27	1.105	0.935	0.17	341.127493576617	318.346783648229	469.497695192952	2604.8579104491	196.085411447012	165.41906891826	30.6663425287516
4	F	1972	28	1.04	0.825	0.215	337.362173225631	298.311459031711	486.29175953872	2796.41715082027	191.559240371168	151.400811259045	40.1584291121239
4	F	1973	29	1.03	0.835	0.195	334.975223105633	301.77600695477	484.322346489542	2992.83266511536	196.415514295088	158.718523027051	37.6969912680365
4	F	1974	30	1.18	0.89	0.29	350.119147821426	306.493343418464	482.993072134428	3226.04502584341	233.212360728055	175.086613451336	58.1257472767188
4	F	1975	31	1.14	0.81	0.33	370.245467869598	319.754279845758	493.157182462377	3459.66076706819	233.615741224775	165.150384206562	68.4653570182127
4	F	1976	32	1.215	0.945	0.27	361.06826856094	319.824016944772	505.530052681564	3717.63508255202	257.974315483833	199.845112455195	58.1292030286377
4	F	1977	33	1.015	0.76	0.255	338.239724357236	307.293950886162	430.660358949388	3940.25532802905	222.620245477027	166.082180587616	56.5380648894111
4	F	1978	34	0.995	0.765	0.23	348.585508332232	310.577469653232	475.725675853917	4164.77199591141	224.516667882366	172.065579415827	52.4510884665387
4	F	1979	35	1.015	0.77	0.245	354.337910473369	313.420289719262	480.389650320728	4400.21088189288	235.438885981469	178.016148600808	57.4227373806607
4	F	1980	36	0.8	0.555	0.245	375.98635485548	314.423577144566	517.09022340242	4590.34006928814	190.129187395254	131.474945694386	58.6542417008677
4	F	1981	37	0.805	0.595	0.21	356.147884258184	307.019923905782	496.653880616951	4785.71658035286	195.376511064729	144.016183567516	51.3603274972129
4	F	1982	38	0.79	0.445	0.345	406.093609696868	319.084589932817	518.388638929632	4981.41109913395	195.694518781088	109.75067541518	85.9438433659079
4	F	1983	39	0.555	0.42	0.135	363.720231354889	314.439646206578	521.652304205552	5121.23781181827	139.826712684322	105.636681295488	34.1900313888336
4	F	1984	40	0.545	0.415	0.13	360.686197497739	319.46056291849	494.956969935637	5260.42850906988	139.190697251602	105.819757607375	33.3709396442264
4	F	1985	41	0.69	0.44	0.25	376.699453290115	314.442435027421	486.221060546117	5439.3287018434	178.900192773529	113.735707156442	65.1644856170869
4	F	1986	42	0.735	0.545	0.19	357.306544134771	319.221512058017	465.882360577382	5633.18672409902	193.858022255616	143.419752202232	50.4382700533833
4	F	1987	43	0.665	0.475	0.19	356.833389720903	312.848402069397	468.451458958072	5811.50690032888	178.320176229859	127.088025712914	51.2321505169457
4	F	1988	44	0.57	0.44	0.13	350.036889341522	310.25407167753	494.409026432448	5966.56428981725	155.057389488374	119.513724364923	35.5436651234504
4	F	1989	45	0.655	0.47	0.185	374.007961400847	320.569572023579	509.795781967393	6147.26500788037	180.700718063117	129.389949190014	51.3107688731034
4	F	1990	46	0.78	0.54	0.24	383.173554654933	327.31743921951	512.021591441143	6365.96698046002	218.701972579654	151.001907531854	67.7000650477994
4	F	1991	47	0.9	0.65	0.25	367.531815919016	320.94835934896	490.356084623953	6623.06549845185	257.098517991828	185.17175418789	71.9267638039382
4	F	1992	48	0.945	0.655	0.29	384.745836784838	328.599721421873	513.678558950948	6898.49638767462	275.430889222768	190.31037875155	85.120510471218
4	F	1993	49	0.855	0.59	0.265	375.465161829104	316.199336463789	506.700242987473	7152.53067473195	254.034287057333	174.807325864433	79.2269611929005
4	F	1994	50	0.905	0.625	0.28	380.897475064955	323.232080255892	510.868351995128	7426.42469682859	273.894022096633	188.603551462854	85.2904706337795
4	F	1995	51	0.79	0.62	0.17	360.745978327526	317.245189356878	518.955460991545	7669.7212558154	243.296558986812	190.610479389784	52.6860795970279
4	F	1996	52	0.865	0.72	0.145	346.917916219699	312.656362174853	517.695018653928	7940.61301489263	270.891759077231	225.154175571596	45.7375835056346
4	F	1997	53	0.955	0.685	0.27	381.765445259554	328.070565764361	518.326381466	8245.15044589164	304.537430999013	217.856805616022	86.6806253829909
4	F	1998	54	1.14	0.87	0.27	365.313297576327	321.637180587783	506.686295157878	8616.18510465121	371.034658759569	282.420068939025	88.6145898205432
4	F	1999	55	1.34	0.93	0.41	383.976711587691	325.649836489639	516.00104152454	9062.75370389957	446.568599248358	308.734049005496	137.834550242862
4	F	2000	56	1.585	1.155	0.43	370.086575677557	322.891563219306	501.288434439517	9605.53585581879	542.78215191922	393.968677829856	148.813474089364
4	F	2001	57	1.365	0.98	0.385	377.018506352982	321.233032539283	519.006271660678	10085.6295683709	480.093712552061	343.497342513792	136.596370038269
4	F	2002	58	2.14	1.44	0.7	397.549347919185	330.224877151103	536.930847829225	10861.8681042275	776.238535856643	519.162009013389	257.076526843253
4	F	2003	59	1.785	1.235	0.55	378.299729801828	322.457238460318	503.329991556914	11531.3484887511	669.480384523638	461.06398629184	208.416398231799
4	F	2004	60	1.97	1.42	0.55	377.58123366145	319.546890074166	527.354099455943	12293.4542558963	762.105767145202	546.881537633073	215.224229512129
4	F	2005	61	1.995	1.29	0.705	386.242623493024	321.145733245217	504.966074017338	13090.0819636942	796.62770779789	512.255531723738	284.372176074152
4	F	2006	62	1.76	1.335	0.425	366.297406177131	322.606259880646	503.816117377796	13813.633477476	723.551513781822	547.047806424262	176.50370735756
4	F	2007	63	2.085	1.435	0.65	373.907900625032	317.915117694257	497.322632106208	14695.9809545438	882.347477067777	604.344801558966	278.002675508811
4	F	2008	64	2.705	1.855	0.85	365.417412498925	317.390802797902	467.984603419814	15881.4105983537	1185.42964380983	807.975140462657	377.454503347177
4	F	2009	65	3.065	2.3	0.765	360.785264527949	311.598659400951	507.883661565474	17280.1645935184	1398.75399516471	1044.10831842057	354.645676744141
4	F	2010	66	3.14	2.18	0.96	357.757864458234	315.137762086814	453.610687189201	18774.3556967296	1494.19110321123	1030.79362043612	463.397482775104
4	F	2011	67	3.04	1.855	1.185	358.618782132479	303.146604549095	444.886908946823	20279.9828255184	1505.62712878883	911.823941378989	593.803187409845
4	F	2012	68	3.065	2.13	0.935	353.183164669208	303.929930342994	465.65223964344	21856.7766883085	1576.79386279005	1089.52506677645	487.268796013595
4	F	2013	69	2.12	1.33	0.79	398.787396800316	328.904471998795	517.047322091463	22981.9468936511	1125.17020534262	702.584210252495	422.585995090121
4	F	2014	70	2.16	1.405	0.755	377.261389327481	318.383340820188	485.130016349857	24157.3901212735	1175.44322762242	761.249761686915	414.193465935503
4	F	2015	71	2.11	1.385	0.725	367.323946504512	306.062493323114	494.996403102373	25333.9288222542	1176.53870098072	769.123221195343	407.415479785381
4	F	2016	72	1.66	1.09	0.57	378.179445418177	317.250096802371	493.87048635182	26279.2076623411	945.278840086878	618.743270469084	326.535569617794
4	F	2017	73	1.56	0.945	0.615	386.100020160523	327.286757347245	476.471618931243	27183.3228422065	904.115179865428	545.859341923406	358.255837942022
4	F	2018	74	1.05	0.685	0.365	402.655454241428	336.373686183554	525.037737498439	27800.4714402446	617.148598038111	401.830513445464	215.318084592647
5	F	1938	1	3.585	1.115	2.47	377.982800951684	348.259393621825	388.065230233914	40.3764556422831	40.3764556422831	NA	NA
5	F	1939	2	1.425	1.065	0.36	383.219983157412	357.902832476855	458.805772952718	78.8542897643692	38.4778341220861	27.5526315099622	10.9252026121239
5	F	1940	3	1.6	1.265	0.335	372.905219133084	354.122145670871	443.914779497582	137.262780379911	58.4084906155414	44.8478844661375	13.560606149404
5	F	1941	4	1.565	1.215	0.35	369.156216140809	347.147606499501	445.317202097588	209.954600534814	72.6918201549038	55.0989012948009	17.5929188601028
5	F	1942	5	1.23	0.965	0.265	389.635815079854	358.685263620306	501.495158299106	277.886515120448	67.9319145856336	52.4927931090155	15.4391214766181
5	F	1943	6	0.98	0.645	0.335	404.623180065173	355.01589066478	500.72412160854	338.815191362699	60.9286762422512	39.4221968737551	21.5064793684961
5	F	1944	7	1.095	0.8	0.295	381.54811263011	344.024885271012	483.123143841239	414.03175245366	75.2165610909612	54.2113228303455	21.0052382606157
5	F	1945	8	1.17	0.83	0.34	389.770305089523	342.323725977983	506.666989484126	502.725510409073	88.6937579554124	62.032946059988	26.6608118954244
5	F	1946	9	1.24	0.885	0.355	387.459258134284	347.49208734236	486.31207050676	606.114068001651	103.388557592579	72.8024042163101	30.5861533762686
5	F	1947	10	1.225	0.89	0.335	373.655948208453	339.74022191827	462.297846977088	717.738389275432	111.624321273781	80.1618206267932	31.4625006469873
5	F	1948	11	1.23	0.905	0.325	366.97473666195	336.720925112856	450.63831436205	839.304830280212	121.56644100478	88.5212059789141	33.0452350258658
5	F	1949	12	1.65	1.22	0.43	369.33220131606	339.188817721624	456.57215507864	1017.31061162526	178.005781345051	129.96831639754	48.0374649475108
5	F	1950	13	1.575	1.145	0.43	366.881671408147	328.756528331432	467.511733066312	1203.18254827582	185.871936650558	133.57918445376	52.2927521967981
5	F	1951	14	1.67	1.23	0.44	361.116434395238	322.767947971756	469.482435656413	1417.29056991813	214.108021642309	155.996097373267	58.1119242690422
5	F	1952	15	1.785	1.405	0.38	360.051032747233	329.100020271683	476.716129152527	1665.51730879604	248.226738877907	193.705655011918	54.5210838659891
5	F	1953	16	1.9	1.415	0.485	360.180260841327	317.12026705911	483.848271533823	1951.73210750133	286.214798705298	210.998708853235	75.2160898520631
5	F	1954	17	1.77	1.36	0.41	356.562507335331	319.476551884793	479.562563025206	2238.77126011893	287.0391526176	218.798105314853	68.2410473027467
5	F	1955	18	1.56	1.21	0.35	363.319083356381	324.725274764643	497.076460737163	2508.07486556996	269.303605451024	207.552460252064	61.7511451989603
5	F	1956	19	1.44	1.085	0.355	356.299811476344	322.291011922787	460.338740383029	2770.23448932672	262.159623756761	196.319931338602	65.8396924181593
5	F	1957	20	1.425	0.895	0.53	389.068602411655	333.021990321114	482.692363596798	3042.48922837671	272.25473904999	169.504867243886	102.749871806104
5	F	1958	21	1.56	1.215	0.345	365.942313770381	329.091784383789	497.592967605727	3355.16566200319	312.676433626484	242.209960627752	70.4664729987326
5	F	1959	22	1.46	1.085	0.375	395.091504341651	349.323120524426	526.355504707868	3661.65064482798	306.484982824791	226.486289396535	79.9986934282556
5	F	1960	23	1.23	0.91	0.32	370.337373039497	327.328413076785	492.808071714972	3930.24833440975	268.597689581762	197.803784088708	70.7939054930539
5	F	1961	24	1.18	0.79	0.39	384.713885488712	320.292673705148	515.543814421906	4196.86147991224	266.613145502489	177.527316783909	89.0858287185802
5	F	1962	25	1.08	0.775	0.305	364.057590199023	321.44903967787	471.118952682628	4448.54829039899	251.686810486754	179.865996895058	71.8208135916966
5	F	1963	26	1.08	0.795	0.285	367.070488102326	320.778325657461	498.598446859435	4707.56380822804	259.015517829048	189.952394268674	69.0631235603742
5	F	1964	27	1.265	0.825	0.44	378.375936398938	318.496072737242	490.690542326982	5020.26702393189	312.703215703857	202.79648167361	109.906734030246
5	F	1965	28	0.715	0.5	0.215	375.112141479731	323.333576235059	497.292007046016	5201.4598724842	181.192848552302	126.370564490649	54.8222840616536
5	F	1966	29	0.875	0.565	0.31	376.342471742236	316.142163587557	484.101560803674	5427.5701132401	226.1102407559	145.452362649105	80.6578781067956
5	F	1967	30	0.905	0.635	0.27	377.080868313575	324.817612637642	501.536005993326	5666.4934967133	238.923383473199	167.103747978746	71.8196354944521
5	F	1968	31	1.24	0.915	0.325	364.555704484924	318.277543328883	495.678340021832	6002.21414077239	335.720644059097	246.795115105665	88.9255289534321
5	F	1969	32	1.04	0.76	0.28	356.998475173978	313.28098670253	479.322562564904	6291.23563835441	289.021497582015	210.539486547096	78.4820110349192
5	F	1970	33	1.46	1.155	0.305	354.353159951378	312.997595974904	513.819859331152	6708.44416929938	417.208530944969	328.945249722917	88.2632812220527
5	F	1971	34	1.615	1.245	0.37	355.257597908771	317.450598715486	482.469463943007	7185.54692856559	477.102759266212	366.350308493617	110.752450772595
5	F	1972	35	1.87	1.425	0.445	359.370550589381	309.776358141371	521.029832203501	7758.45530469659	572.908376131002	434.5824022573	138.325973873702
5	F	1973	36	1.81	1.385	0.425	364.677428914923	314.620339333125	535.318898764874	8333.90711423994	575.45180954335	438.482689536733	136.969120006617
5	F	1974	37	1.55	1.16	0.39	360.044149731753	316.432217346865	490.396818135219	8843.05875242193	509.151638181989	379.621259800359	129.530378381631
5	F	1975	38	1.77	1.23	0.54	376.743635573616	319.815305139348	507.755562820883	9442.93832980254	599.879577380603	414.778823186683	185.10075419392
5	F	1976	39	1.845	1.28	0.565	374.798373243537	320.960679372962	496.762368951556	10089.1899353252	646.251605522628	446.075997520276	200.175608002352
5	F	1977	40	1.335	0.955	0.38	359.299691591627	316.406875250655	467.21976837239	10570.139888955	480.949953629797	342.910257386653	138.039696243144
5	F	1978	41	1.19	0.89	0.3	360.962328760049	313.383898326795	502.90585515844	11008.2915331658	438.15164421086	326.854441272137	111.297202938724
5	F	1979	42	1.265	0.91	0.355	371.127077245907	321.067576596984	501.575250096934	11483.8142284069	475.522695241089	341.060723251669	134.46197198942
5	F	1980	43	1.05	0.75	0.3	386.928658332503	328.194836492846	533.844980871896	11886.1532871632	402.339058756263	286.678183621701	115.660875134561
5	F	1981	44	0.84	0.575	0.265	373.070169913605	314.518987153697	499.653820338344	12213.012126665	326.858839501852	223.263957811751	103.594881690102
5	F	1982	45	0.79	0.465	0.325	407.433630474697	322.922969678338	529.537318688119	12524.4605117232	311.448385058196	182.846111686256	128.60227337194
5	F	1983	46	0.555	0.395	0.16	360.566700659808	322.454952193485	455.406486268666	12745.6079785642	221.147466841025	157.19469351043	63.9527733305949
5	F	1984	47	0.535	0.395	0.14	347.211825562939	309.896432599756	452.454408204145	12960.6181870768	215.0102085126	158.572124809392	56.4380837032077
5	F	1985	48	0.46	0.33	0.13	357.137012438474	314.848268997472	462.232271688393	13146.9246845312	186.306497454365	133.519886892425	52.7866105619396
5	F	1986	49	0.62	0.455	0.165	358.187751728648	310.868573970219	488.860476999118	13400.1370524105	253.212367879338	185.589350391368	67.6230174879693
5	F	1987	50	0.73	0.55	0.18	367.991907467743	324.706909004728	500.660622475142	13701.3702347963	301.233182385789	226.645489604256	74.5876927815334
5	F	1988	51	0.67	0.495	0.175	364.556386416069	319.68146520881	492.925503946289	13980.7913393882	279.421104591909	206.165839794585	73.2552647973243
5	F	1989	52	0.815	0.525	0.29	397.787643085952	328.464164090309	524.739068979903	14324.4863666198	343.695027231519	220.920329692171	122.774697539347
5	F	1990	53	1.03	0.69	0.34	384.991307037022	323.730648665838	509.611201963708	14764.8195327693	440.333166149514	294.243452890812	146.089713258702
