Snr	year	d	h	dd	dh	ba	bai	plot
5	2013	0.19941	19.325	0.00213	0.33	0.0312308459664368	0.000663621942543221	2
5	2014	0.20193	19.645	0.00252	0.32	0.0320251794476596	0.000794333481222791	2
5	2015	0.20498	19.975	0.00305	0.33	0.0329999178659972	0.000974738418337576	2
5	2016	0.20728	20.205	0.0023	0.23	0.0337446308337343	0.000744712967737134	2
5	2017	0.21056	20.455	0.00328	0.25	0.0348210309547226	0.00107640012098829	2
5	2018	0.21458	20.72	0.00402	0.265	0.0361633257389735	0.0013422947842509	2
6	2002	0.08509	9.33	0.00102	0.16	0.00568652468417166	0.000135515112386718	2
6	2003	0.08571	9.59	0.00062	0.26	0.0057696952080828	8.31705239111379e-05	2
6	2004	0.08668	9.79	0.00097	0.2	0.00590102815378924	0.000131332945706443	2
6	2005	0.08772	10.05	0.00104	0.26	0.00604348053107362	0.000142452377284377	2
6	2006	0.08859	10.28	0.00087	0.23	0.00616395251973771	0.000120471988664086	2
6	2007	0.08969	10.45	0.0011	0.17	0.00631797538276525	0.000154022863027545	2
6	2008	0.09079	10.79	0.0011	0.34	0.00647389890934822	0.000155923526582967	2
6	2009	0.0922	11.22	0.00141	0.43	0.00667654412333556	0.00020264521398734	2
6	2010	0.09386	11.75	0.00166	0.53	0.00691912188592323	0.00024257776258767	2
6	2011	0.09587	12.35	0.00201	0.6	0.00721863920894144	0.00029951732301821	2
6	2012	0.09778	12.84	0.00191	0.49	0.0075091356057345	0.000290496396793059	2
6	2013	0.09929	13.33	0.00151	0.49	0.00774285101398621	0.000233715408251711	2
6	2014	0.10068	13.92	0.00139	0.59	0.00796115895230729	0.000218307938321077	2
6	2015	0.10259	14.42	0.00191	0.5	0.00826608641203424	0.000304927459726956	2
6	2016	0.10453	14.83	0.00194	0.41	0.00858166944718383	0.000315583035149584	2
6	2017	0.10572	15.32	0.00119	0.49	0.00877817410417046	0.000196504656986634	2
6	2018	0.10691	15.7	0.00119	0.38	0.00897690316583547	0.000198729061665006	2
7	2002	0.12395	12.86	0.00224	0.345	0.0120665451866684	0.000432187644717287	3
7	2003	0.1257	13.19	0.00175	0.33	0.0124096758267797	0.000343130640111303	3
7	2004	0.12831	13.42	0.00261	0.23	0.0129303681841145	0.000520692357334769	3
7	2005	0.13064	13.67	0.00233	0.25	0.0134042409148939	0.000473872730779427	3
7	2006	0.13287	13.93	0.00223	0.26	0.0138657623170761	0.000461521402182198	3
7	2007	0.1354	14.22	0.00253	0.29	0.0143988301932716	0.000533067876195422	3
7	2008	0.13743	14.52	0.00203	0.3	0.0148338189605386	0.000434988767267047	3
7	2009	0.13936	14.8	0.00193	0.28	0.0152533823507969	0.000419563390258287	3
7	2010	0.14127	15.06	0.00191	0.26	0.0156743583581919	0.000420976007394969	3
7	2011	0.14366	15.305	0.00239	0.245	0.0162092009200773	0.000534842561885433	3
7	2012	0.14557	15.565	0.00191	0.26	0.0166430778777042	0.000433876957626939	3
7	2013	0.14703	15.82	0.00146	0.255	0.016978596831515	0.000335518953810737	3
7	2014	0.14901	16.13	0.00198	0.31	0.0174389651906535	0.000460368359138516	3
7	2015	0.15111	16.37	0.0021	0.24	0.0179339639539311	0.000494998763277563	3
7	2016	0.15282	16.6	0.00171	0.23	0.0183421513230314	0.000408187369100375	3
7	2017	0.155	16.805	0.00218	0.205	0.0188691908756237	0.000527039552592269	3
7	2018	0.15725	17.03	0.00225	0.225	0.0194209821727956	0.00055179129717192	3
8	2002	0.17946	15.84	0.00289	0.33	0.0252944481132173	0.000808117140450591	3
8	2003	0.18171	16.17	0.00225	0.33	0.0259326881862344	0.000638240073017078	3
8	2004	0.18387	16.39	0.00216	0.22	0.026552880045076	0.000620191858841656	3
8	2005	0.186	16.61	0.00213	0.22	0.0271716348608981	0.000618754815822078	3
8	2006	0.18793	16.81	0.00193	0.2	0.0277384448559098	0.000566809995011674	3
8	2007	0.18981	17	0.00188	0.19	0.0282961963041243	0.000557751448214494	3
8	2008	0.19124	17.23	0.00143	0.23	0.0287241609414568	0.000427964637332512	3
