yta	avd	rev	år	mån	dag	nr	t_l	beha	p_kod	hojd	krong	b1	b2	dia	dia6m1	dia6m2	b6m1	b6m2	rc1	rc2
1471	32	2	2008	5	13	37	1	1	1	164	82	30	28	172.997109802447	0	0	0	0	0	0
1471	32	2	2008	5	13	54	1	1	1	182	89	24	26	202.977831301844	0	0	0	0	0	0
1471	32	2	2008	5	13	60	1	1	3	162	79	22	26	240.86718331894	0	0	0	0	0	0
1471	32	2	2008	5	13	63	1	1	1	151	79	25	20	164	0	0	0	0	0	0
1471	32	2	2008	5	13	66	1	1	3	169	92	34	37	244	0	0	0	0	0	0
1471	32	2	2008	5	13	72	1	1	1	155	86	12	16	146.478667388804	0	0	0	0	0	0
1471	32	2	2008	5	13	80	1	1	1	127	61	7	9	110.49886877249	0	0	0	0	0	0
1471	32	2	2008	5	13	88	1	1	1	196	93	18	20	203	0	0	0	0	0	0
1471	32	2	2008	5	13	96	1	1	1	161	87	24	23	180	0	0	0	0	0	0
1471	32	2	2008	5	13	104	1	1	1	153	91	11	15	145.499140890934	0	0	0	0	0	0
1471	32	2	2008	5	13	111	1	1	3	189	104	25	25	233.965809467965	0	0	0	0	0	0
1471	32	2	2008	5	13	113	1	1	3	188	90	23	24	233.473767263048	0	0	0	0	0	0
1471	32	3	2009	4	22	3	1	1	1	126	47	16	12	133.454111963626	0	0	0	0	0	0
1471	32	3	2009	4	22	4	1	1	1	166	74	18	18	144.986206240456	0	0	0	0	0	0
1471	32	3	2009	4	22	12	1	1	1	185	91	19	20	189.483508517232	0	0	0	0	0	0
1471	32	3	2009	4	22	20	1	1	1	168	85	23	23	178.997206682116	0	0	0	0	0	0
1471	32	3	2009	4	22	28	1	1	1	185	93	20	23	181.499311293459	0	0	0	0	0	0
1471	32	3	2009	4	22	32	1	1	3	184	91	25	25	264.99811320083	0	0	0	0	0	0
1471	32	3	2009	4	22	37	1	1	1	167	82	22	24	172.997109802447	0	0	0	0	0	0
1471	32	3	2009	4	22	54	1	1	1	185	95	22	22	205.494525474524	0	0	0	0	0	0
1471	32	3	2009	4	22	60	1	1	3	166	83	25	24	241.867732448957	0	0	0	0	0	0
1471	32	3	2009	4	22	63	1	1	1	156	79	22	23	165.499244711267	0	0	0	0	0	0
1471	32	3	2009	4	22	66	1	1	3	173	92	27	26	244	0	0	0	0	0	0
1471	32	3	2009	4	22	72	1	1	1	159	86	14	16	146.986393928146	0	0	0	0	0	0
1471	32	3	2009	4	22	80	1	1	1	131	61	10	10	110.49886877249	0	0	0	0	0	0
1471	32	3	2009	4	22	88	1	1	1	196	93	18	21	204	0	0	0	0	0	0
1471	32	3	2009	4	22	96	1	1	1	168	88	20	19	180.499307477896	0	0	0	0	0	0
1471	32	3	2009	4	22	104	1	1	1	155	91	12	15	146.499146755194	0	0	0	0	0	0
1471	32	3	2009	4	22	111	1	1	3	194	104	22	25	234.473879142219	0	0	0	0	0	0
1471	32	3	2009	4	22	113	1	1	3	193	90	28	26	233.473767263048	0	0	0	0	0	0
1471	32	4	2010	4	27	1	1	1	1	159	65	29	29	210	0	0	0	0	0	0
1471	32	4	2010	4	27	3	1	1	1	127	47	17	13	133.940285202026	0	0	0	0	0	0
1471	32	4	2010	4	27	4	1	1	1	166	93	17	18	146.969384566991	0	0	0	0	0	0
1471	32	4	2010	4	27	7	1	1	3	174	99	31	26	230.495119254183	0	0	0	0	0	0
1471	32	4	2010	4	27	12	1	1	1	186	106	19	17	192.989637027484	0	0	0	0	0	0
1471	32	4	2010	4	27	20	1	1	1	169	85	29	25	179.988888545932	0	0	0	0	0	0
1471	32	4	2010	4	27	28	1	1	1	185	93	19	23	182.499315067208	0	0	0	0	0	0
1471	32	4	2010	4	27	32	1	1	3	186	93	26	26	268.992564953011	0	0	0	0	0	0
1471	32	4	2010	4	27	37	1	1	1	169	90	29	28	175.98863599676	0	0	0	0	0	0
1471	32	4	2010	4	27	54	1	1	1	188	99	20	23	206.990337938755	0	0	0	0	0	0
1471	32	4	2010	4	27	58	1	1	1	158	79	17	14	154	0	0	0	0	0	0
1471	32	4	2010	4	27	60	1	1	3	166	86	25	28	243.384469512744	0	0	0	0	0	0
1471	32	4	2010	4	27	63	1	1	1	159	79	20	23	167	0	0	0	0	0	0
1471	32	4	2010	4	27	72	1	1	1	159	95	20	23	146.986393928146	0	0	0	0	0	0
1471	32	4	2010	4	27	80	1	1	1	132	61	12	12	110.49886877249	0	0	0	0	0	0
1471	32	4	2010	4	27	88	1	1	1	199	93	23	21	205.499391726594	0	0	0	0	0	0
1471	32	4	2010	4	27	90	1	1	3	195	125	23	21	225.991150269209	0	0	0	0	0	0
1471	32	4	2010	4	27	96	1	1	1	171	102	23	24	180.99723754798	0	0	0	0	0	0
1471	32	4	2010	4	27	104	1	1	1	159	98	20	19	146.499146755194	0	0	0	0	0	0
1471	32	4	2010	4	27	113	1	1	3	193	90	27	31	236.981011897578	0	0	0	0	0	0
1471	32	5	2011	5	5	1	1	1	1	160	74	23	26	211.499408982626	0	0	0	0	0	0
1471	32	5	2011	5	5	3	1	1	1	129	47	14	12	135.425256137842	0	0	0	0	0	0
1471	32	5	2011	5	5	4	1	1	1	167	93	17	20	149.459024484974	0	0	0	0	0	0
1471	32	5	2011	5	5	7	1	1	3	175	99	25	24	234.997872330794	0	0	0	0	0	0
1471	32	5	2011	5	5	12	1	1	1	188	106	18	19	194.997435880578	0	0	0	0	0	0
1471	32	5	2011	5	5	20	1	1	1	171	91	25	26	183.482969236929	0	0	0	0	0	0
1471	32	5	2011	5	5	28	1	1	1	187	107	21	19	187.493999903997	0	0	0	0	0	0
1471	32	5	2011	5	5	32	1	1	3	186	107	29	27	271.998161758494	0	0	0	0	0	0
1471	32	5	2011	5	5	37	1	1	1	172	96	25	24	177.499295773251	0	0	0	0	0	0
1471	32	5	2011	5	5	54	1	1	1	189	103	21	22	209.990475974507	0	0	0	0	0	0
1471	32	5	2011	5	5	58	1	1	1	161	97	18	17	155.996794838868	0	0	0	0	0	0
1471	32	5	2011	5	5	60	1	1	3	166	89	34	28	245.900386335605	0	0	0	0	0	0
1471	32	5	2011	5	5	63	1	1	1	160	92	22	23	170	0	0	0	0	0	0
1471	32	5	2011	5	5	72	1	1	1	159	99	16	18	148.492424049175	0	0	0	0	0	0
1471	32	5	2011	5	5	80	1	1	1	133	76	9	11	113	0	0	0	0	0	0
1471	32	5	2011	5	5	88	1	1	1	203	93	24	22	208	0	0	0	0	0	0
1471	32	5	2011	5	5	90	1	1	3	196	125	24	23	227.997807006997	0	0	0	0	0	0
1471	32	5	2011	5	5	96	1	1	1	173	102	26	26	183.49386910739	0	0	0	0	0	0
1471	32	5	2011	5	5	104	1	1	1	159	98	13	17	147.499152539938	0	0	0	0	0	0
1471	32	5	2011	5	5	111	1	1	3	199	106	27	27	239.474424521701	0	0	0	0	0	0
1471	32	6	2012	5	9	1	1	1	1	160	74	30	30	212	0	0	0	0	0	0
1471	32	6	2012	5	9	4	1	1	1	167	93	16	18	150.986754385939	0	0	0	0	0	0
1471	32	6	2012	5	9	7	1	1	3	175	99	24	32	235.495222881484	0	0	0	0	0	0
1471	32	6	2012	5	9	12	1	1	1	189	106	24	24	198.937176012931	0	0	0	0	0	0
1471	32	6	2012	5	9	20	1	1	1	171	91	28	22	184.483061553087	0	0	0	0	0	0
1471	32	6	2012	5	9	28	1	1	1	188	107	20	24	188.494031735756	0	0	0	0	0	0
1471	32	6	2012	5	9	31	1	1	1	154	89	14	14	119.490585403202	0	0	0	0	0	0
1471	32	6	2012	5	9	32	1	1	3	187	107	30	24	273.499542961227	0	0	0	0	0	0
1471	32	6	2012	5	9	37	1	1	1	172	96	28	32	178.997206682116	0	0	0	0	0	0
1471	32	6	2012	5	9	54	1	1	1	189	103	26	34	210.97867190785	0	0	0	0	0	0
1471	32	6	2012	5	9	58	1	1	1	161	97	18	16	157.480157480236	0	0	0	0	0	0
1471	32	6	2012	5	9	60	1	1	3	166	89	25	34	246.414285300183	0	0	0	0	0	0
1471	32	6	2012	5	9	63	1	1	1	160	92	30	20	171	0	0	0	0	0	0
1471	32	6	2012	5	9	72	1	1	1	160	99	14	16	148.492424049175	0	0	0	0	0	0
1471	32	6	2012	5	9	85	1	1	1	191	100	26	24	203.938716285064	0	0	0	0	0	0
1471	32	6	2012	5	9	88	1	1	1	203	93	30	25	211.990565827822	0	0	0	0	0	0
1471	32	6	2012	5	9	90	1	1	3	197	125	26	28	230.499457700013	0	0	0	0	0	0
1471	32	6	2012	5	9	96	1	1	1	173	102	26	30	187	0	0	0	0	0	0
